,gene,abundance_r1tar1,psm_r1tar1,abundance_r1tar2,psm_r1tar2,abundance_r1tar3,psm_r1tar3,abundance_r1tcr1,psm_r1tcr1,abundance_r1tcr2,psm_r1tcr2,abundance_r1tcr3,psm_r1tcr3,abundance_r1wtr1,psm_r1wtr1,abundance_r1wtr2,psm_r1wtr2,abundance_r1wtr3,psm_r1wtr3,abundance_r2tar1,psm_r2tar1,abundance_r2tar2,psm_r2tar2,abundance_r2tar3,psm_r2tar3,abundance_r2tcr1,psm_r2tcr1,abundance_r2tcr2,psm_r2tcr2,abundance_r2tcr3,psm_r2tcr3,abundance_r2wtr1,psm_r2wtr1,abundance_r2wtr2,psm_r2wtr2,abundance_r2wtr3,psm_r2wtr3,abundance_r3tar1,psm_r3tar1,abundance_r3tar2,psm_r3tar2,abundance_r3tar3,psm_r3tar3,abundance_r3tcr1,psm_r3tcr1,abundance_r3tcr2,psm_r3tcr2,abundance_r3tcr3,psm_r3tcr3,abundance_r3wtr1,psm_r3wtr1,abundance_r3wtr2,psm_r3wtr2,abundance_r3wtr3,psm_r3wtr3,ENTREZID,neg_log10_pval_abi_turbo_abundance,qval_abi_turbo_abundance,neg_log10_pval_abi_wt_abundance,qval_abi_wt_abundance,neg_log10_pval_abi_turbo_psm,qval_abi_turbo_psm,neg_log10_pval_abi_wt_psm,qval_abi_wt_psm,two_tailed_neg_log10_pval_abi_turbo_abundance,two_tailed_qval_abi_turbo_abundance,two_tailed_neg_log10_pval_abi_wt_abundance,two_tailed_qval_abi_wt_abundance,two_tailed_neg_log10_pval_abi_turbo_psm,two_tailed_qval_abi_turbo_psm,two_tailed_neg_log10_pval_abi_wt_psm,two_tailed_qval_abi_wt_psm,pval_abi_turbo_abundance,pval_abi_wt_abundance,pval_abi_turbo_psm,pval_abi_wt_psm,two_tailed_pval_abi_turbo_abundance,two_tailed_pval_abi_wt_abundance,two_tailed_pval_abi_turbo_psm,two_tailed_pval_abi_wt_psm,average_abundance_turboabi,average_abundance_turbocontrol,average_abundance_wtcontrol,average_psm_turboabi,average_psm_turbocontrol,average_psm_wtcontrol,ratio_abi_turbo_abundance,ratio_abi_wt_abundance,ratio_abi_turbo_psm,ratio_abi_wt_psm,percentage_abi_turbo_abundance,percentage_abi_wt_abundance,percentage_abi_turbo_psm,percentage_abi_wt_psm,known_interactor,rsd_abi_abundance
1478,Gstcd,0,0,0,0,0,0,124804.3984,1,1165291.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67553,0.034308876,1,0,0.85690753,0,0.734237271,0,0.764937462,0.818389332,0.278570598,0,0.9760681,0,1,0,0.564784735,0.92404075,1,1,1,0.151918502,1,1,1,0,143344.0304,0,0,0.222222222,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1479,Gstp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81368.27344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14869,0,0.976696293,0.07888472,0.943609629,0,0.734050395,0,0.761047418,0,0.993965491,0.478606928,0.340900585,0,1,0,0.564923656,1,0.833902508,1,1,1,0.332194985,1,1,0,0,9040.919271,0,0,0.111111111,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1480,Gtf2a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666098.75,1,0,0,0,0,0,0,0,0,0,0,83602,0.07888472,1,0,0.856698382,0,0.733865649,0,0.761277341,0.478606928,0.567826667,0,0.975549851,0,1,0,0.563904506,0.833902508,1,1,1,0.332194985,1,1,1,0,296233.1944,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1481,Gtf2a2,0,0,0,0,0,0,0,0,382594.7813,1,501027.4375,1,0,0,0,0,0,0,975402.6875,1,0,0,0,0,9435537,1,9707200,1,5538657.5,1,0,0,0,0,0,0,0,0,0,0,0,0,2445244.5,1,3532952.25,1,10109254,1,0,0,0,0,0,0,235459,2.24E-05,1,0.779636924,0.183771788,0,0.733678962,0,0.761507404,3.986440599,0.001208723,0.478606928,0.341034684,0,1,0,0.563756503,0.999948423,0.166097492,1,1,0.000103171,0.332194985,1,1,108378.0764,4628051.941,0,0.111111111,0.888888889,0,0.023417645,Inf,0.125,Inf,2.288180676,100,11.11111111,100,FALSE,282.8427125
1482,Gtf2b,0,0,0,0,0,0,0,0,10984429,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825232.125,1,0,0,1131981.375,1,0,0,0,0,0,0,0,0,0,0,0,0,6250151.25,2,0,0,0,0,0,0,0,0,0,0,229906,0.004951344,1,0,0.853987778,0.033874403,1,0,0.760820048,1.644504494,0.047680376,0,0.976920777,0.823709789,0.171660377,0,0.563527205,0.988663853,1,0.924965633,1,0.022672296,1,0.150068731,1,0,2243532.639,0,0,0.666666667,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1483,Gtf2e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762474.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74197,0.07888472,1,0,0.854196577,0,0.733493388,0,0.760370549,0.478606928,0.568016005,0,0.977212919,0,1,0,0.563661126,0.833902508,1,1,1,0.332194985,1,1,1,0,306941.6111,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1484,Gtf2e2,0,0,0,0,0,0,3574506.844,3,945041.2188,2,2938717.25,1,0,0,0,0,0,0,0,0,0,0,0,0,4505215.188,3,2364813.188,2,1415776,3,0,0,0,0,0,0,0,0,0,0,0,0,2864793.063,2,3764050.75,3,4140980.25,3,0,0,0,0,0,0,68153,0,0.974910071,0,0.854405478,9.38E-07,1,0,0.759916767,21.95478311,0.0002,0,0.978023346,5.364372277,4.37E-05,0,0.565278062,1,1,0.99999784,1,1.11E-22,1,4.32E-06,1,0,2945988.195,0,0,2.444444444,0,0,0,0,0,0,0,0,0,TRUE,#DIV/0!
1485,Gtf2f1,0,0,0,0,0,0,1165058,2,8754965,2,21772014,1,0,0,0,0,0,0,0,0,0,0,0,0,4047504.75,1,9967654.75,2,5022129.5,1,0,0,0,0,0,0,0,0,0,0,0,0,4163243.25,1,3669065.25,1,0,0,0,0,0,0,0,0,98053,1.41E-07,1,0,0.854613503,0.013849249,1,0,0.760141176,6.188271708,8.05E-05,0,0.977736685,1.202234315,0.08081069,0,0.565209578,0.999999675,1,0.96861402,1,6.48E-07,1,0.062771959,1,0,6506848.278,0,0,1.222222222,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
1486,Gtf2f2,7208643.094,2,0,0,10725541.48,2,21260402.88,4,15362201.56,2,3090814.25,4,0,0,0,0,0,0,0,0,0,0,0,0,6846077,1,36478065,3,30569094,2,0,0,0,0,0,0,0,0,0,0,0,0,27163844,4,25364424.5,2,31201308,2,0,0,0,0,0,0,68705,9.56E-06,1,1.124630165,0.060794087,0.00023377,1,1.124739784,0.05462616,4.356498315,0.000308943,0.823600169,0.111420437,2.968083034,0.002305764,0.823709789,0.099066562,0.999977988,0.075053307,0.99946187,0.075034366,4.40E-05,0.150106615,0.001076259,0.150068731,1992687.175,21926247.91,0,0.444444444,2.666666667,0,0.090881357,Inf,0.166666667,Inf,8.331002897,100,14.28571429,100,FALSE,191.6520002
1487,Gtf2i,0,0,0,0,0,0,0,0,2081531.5,1,10017174.25,2,0,0,0,0,0,0,3589591.75,1,3110587.75,1,3477666.75,1,17879799.5,2,16331566.5,2,19032571,2,0,0,0,0,0,0,0,0,0,0,0,0,10158935.75,2,15133410,2,13896002.5,2,0,0,0,0,0,0,14886,0.001690649,1,1.503243891,0.015822222,1.59E-05,1,0,0.761726723,2.109545917,0.017957447,1.202213896,0.028072973,4.136343548,0.000344086,0,0.564957247,0.996114704,0.031387455,0.99996339,1,0.007770592,0.062774911,7.31E-05,1,1130871.806,11614554.56,0,0.333333333,1.666666667,0,0.097366782,Inf,0.2,Inf,8.872765599,100,16.66666667,100,FALSE,141.8065604
